Рынок: референсы для MVP,,,,,,
,,,,,,
Сервис,Модель,Что формирует доверие,Что берём в гипотезы MVP,Что не переносим на старт,Источник,Вывод
SmartMental,Близкая модель: образовательная экосистема → дипломированные специалисты собственного института → каталог и подбор → первое сопровождение клиента.,Дипломированные специалисты института; аттестация и собеседование; рекомендации опытных психологов; бесплатная первая встреча; поддержка при выборе и переподборе.,Основной референс: два пути клиента — самостоятельный выбор в каталоге и короткая анкета / подбор; верификация специалистов; первая волна; сервисный переподбор; управление качеством после первой сессии.,"Не делать обязательной для MVP бесплатную первую сессию, пакетные продажи и сложную механику в мессенджерах — тестировать после проверки экономики и спроса.",https://smart-mental.ru/,Самый близкий аналог: институт превращает выпускников в проверенное предложение и сочетает каталог с сервисным подбором.
Alter,Психологическая платформа и профессиональное сообщество; не позиционирует себя как простой трафиковый агрегатор.,Многоступенчатый отбор; этические нормы; личная терапия и супервизии.,"Высокий порог допуска, стандарты качества, профессиональное сообщество.",Сложный отбор и алгоритмы без подтверждённого спроса.,https://alter.ru/for-psychologists,"Качество — часть продукта, а не бэк-офис."
Ясно,Онлайн-терапия с отбором специалистов и профилями.,Профессиональный отбор и супервизионная среда.,Доверительный бренд и регулярность практики.,Массовую витрину до валидации спроса.,https://work.yasno.live/psychologist,Репутация платформы опирается на правила допуска.
Zigmund.Online,"Онлайн-сервис с календарём, системой работы специалистов и прозрачными требованиями.","Опыт, профильное образование, обучение подходу, часы терапии и супервизий.","Формализованная верификация, календарь, прозрачный сервисный контур.",Собственную видеоплатформу и развитую цифровую инфраструктуру в MVP-0.,https://zigmund.online/to-psychologist/,До автоматизации нужен единый стандарт специалиста.
PsyPsy,Подписочная модель: сессия + чат; персональный подбор и менеджер.,Высокий заявленный порог отбора; бесплатный переподбор; сервисное сопровождение.,"Переподбор, персональный сервис, ясные SLA поддержки.",Недельную подписку с регулярным чатом — высокая нагрузка на качество и поддержку.,https://psypsy.online/,"Ценность создаёт не каталог, а непрерывность сопровождения."
B17,Широкий каталог и самостоятельный поиск.,"Публичные профили, контент, отзывы.",Карточку психолога и контентный слой — позднее.,Открытый каталог без единых критериев качества.,https://www.b17.ru/,Самостоятельный выбор не должен быть главным путём MVP.
Profi.ru,Маркетплейс услуг и лидогенерация.,"Отзывы, отклики, конкуренция специалистов.",Баланс спроса и предложения как управленческая проблема.,Оплату за лид как базовую модель для выпускников.,https://profi.ru/,"Нельзя набирать предложение, пока не подтверждён спрос."
,,,,,,
,,,,,,
Выводы для MVP,,,,,,
1,"Клиенту нужен не каталог, а безопасный путь выбора.",,,,,
2,Порог допуска должен быть выше факта диплома.,,,,,
3,"Подбор и бесплатный/простой переподбор — более важная фича, чем сложные фильтры.",,,,,
4,"Постоянный чат и подписка — отдельная сервисная модель, не MVP.",,,,,
5,Набор психологов необходимо синхронизировать с подтверждённым спросом.,,,,,
6,SmartMental — базовый референс: выпускники института + верификация + каталог и подбор + сервисный переподбор.,,,,,
,,,,,,
"Открытые источники, использованные для первичного анализа",,,,,,
Источник,Что использовано,URL,Комментарий,,,
МИП,"Практическая подготовка, супервизии и переход к консультированию.",https://mip.institute/,Контекст института,,,
Alter,Критерии работы с психологами и профессиональная среда.,https://alter.ru/for-psychologists,Референс качества,,,
Ясно,Профессиональная среда и требования к психологам.,https://work.yasno.live/psychologist,Референс допуска,,,
Zigmund.Online,"Требования к опыту, образованию и супервизиям.",https://zigmund.online/to-psychologist/,Референс стандартизации,,,
PsyPsy,"Подбор, подписка, переподбор, сервисная поддержка.",https://psypsy.online/,Референс сопровождения,,,
Zigmund.Online,Граница между психологическими и медицинскими услугами.,https://zigmund.online/terms-of-use/?termsType=clientPsyTerms,Референс разграничений услуг,,,
SmartMental,Каталог и выбор специалиста; анкета / подбор через мессенджер; бесплатная первая встреча; переподбор; критерии допуска.,https://smart-mental.ru/,Основной референс модели института и выпускников,,,
